 224: 2.420949, 2.882382 avg loss, 0.000003 rate, 2.015486 seconds, 7168 images, 4.883954 hours left
 225: 2.509485, 2.845093 avg loss, 0.000003 rate, 1.799074 seconds, 7200 images, 4.884235 hours left
.549883, 2.815572 avg loss, 0.000003 rate, 1.966869 seconds, 7232 images, 4.884453 hours left
 227: 2.468683, 2.780883 avg loss, 0.000003 rate, 1.988264 seconds, 7264 images, 4.879543 hours left
 228: 2.532439, 2.756038 avg loss, 0.000003 rate, 1.942818 seconds, 7296 images, 4.886855 hours left
 229: 2.667282, 2.747163 avg loss, 0.000003 rate, 1.882981 seconds, 7328 images, 4.884341 hours left
 230: 2.467490, 2.719195 avg loss, 0.000003 rate, 1.990150 seconds, 7360 images, 4.879766 hours left
 231: 2.592035, 2.706479 avg loss, 0.000003 rate, 1.694554 seconds, 7392 images, 4.880341 hours left
 232: 2.502902, 2.686121 avg loss, 0.000003 rate, 1.684097 seconds, 7424 images, 4.903545 hours left
 233: 2.254537, 2.642963 avg loss, 0.000003 rate, 1.601144 seconds, 7456 images, 4.900114 hours left
 234: 2.235858, 2.602252 avg loss, 0.000003 rate, 1.792936 seconds, 7488 images, 4.885849 hours left
 235: 3.068363, 2.648864 avg loss, 0.000003 rate, 1.722516 seconds, 7520 images, 4.875844 hours left
 236: 2.357202, 2.619697 avg loss, 0.000003 rate, 1.761110 seconds, 7552 images, 4.882946 hours left
 237: 2.142396, 2.571967 avg loss, 0.000003 rate, 1.737738 seconds, 7584 images, 4.880784 hours left
 238: 2.101933, 2.524964 avg loss, 0.000003 rate, 1.651729 seconds, 7616 images, 4.885033 hours left
 239: 1.981321, 2.470599 avg loss, 0.000003 rate, 1.628729 seconds, 7648 images, 4.873310 hours left
 240: 2.409563, 2.464496 avg loss, 0.000003 rate, 1.657817 seconds, 7680 images, 4.869928 hours left
 241: 2.041606, 2.422207 avg loss, 0.000003 rate, 1.596958 seconds, 7712 images, 4.864091 hours left
 242: 1.617099, 2.341696 avg loss, 0.000003 rate, 1.744568 seconds, 7744 images, 4.894040 hours left
 243: 2.030201, 2.310546 avg loss, 0.000003 rate, 1.641504 seconds, 7776 images, 4.881174 hours left
 244: 2.252305, 2.304722 avg loss, 0.000004 rate, 1.688355 seconds, 7808 images, 4.882901 hours left
 245: 2.034131, 2.277663 avg loss, 0.000004 rate, 1.697415 seconds, 7840 images, 4.880321 hours left
 246: 2.054148, 2.255312 avg loss, 0.000004 rate, 1.674001 seconds, 7872 images, 4.883936 hours left
